# A, B, C, D, E
2.504,2.960,1.477,-2.171,-2.846
2.759,2.838,1.831,-2.472,-2.585
2.092,2.728,1.554,-2.260,-2.731
2.471,2.906,1.777,-2.499,-2.664
2.508,2.841,1.702,-2.187,-3.097
2.796,2.554,1.801,-2.251,-2.991
2.402,2.672,1.966,-2.283,-2.795
2.381,2.135,1.924,-1.868,-2.917
2.206,2.398,1.916,-2.138,-2.627
2.605,2.274,2.341,-2.352,-3.131
2.692,2.521,1.997,-2.365,-2.616
2.356,2.671,2.042,-2.346,-2.848
2.335,2.719,1.415,-1.952,-2.699
2.428,2.815,2.212,-2.583,-2.781
2.619,2.452,1.364,-1.928,-2.220
2.713,2.941,2.114,-2.448,-2.900
2.300,2.843,1.949,-2.304,-2.936
2.789,2.856,1.813,-2.184,-2.984
2.196,2.664,2.013,-2.199,-2.896
2.479,2.770,2.061,-2.311,-2.837
2.867,2.386,1.637,-1.842,-2.758
2.304,2.931,1.730,-2.342,-2.410
